payment_id,payment_type,fare_amount,promo_code
1,card,481,WFuFu-41336
2,gift,85,dPKJq-32729
3,gift,120,lLdgx-33327
4,mix,481,
5,cash,373,
6,mix,264,qYKtS-59458
7,card,494,
8,cash,462,BZkVw-89677
9,cash,195,HuOxP-78718
10,cash,442,
11,mix,282,
12,cash,459,
13,cash,353,
14,cash,233,
15,gift,238,VrkNF-55958
16,mix,201,
17,cash,491,
18,cash,307,
19,gift,98,pceiP-55985
20,mix,400,hqJmd-69521
21,card,218,JnHHi-59534
22,gift,29,
23,gift,233,gJknV-85544
24,cash,348,pPRjH-01910
25,cash,26,
26,mix,129,
27,cash,204,UDwHk-22612
28,card,181,
29,cash,185,
30,mix,177,
31,cash,179,dtHRl-94371
32,cash,104,
33,gift,114,
34,cash,312,
35,cash,20,
36,gift,103,BEYAV-71583
37,cash,295,
38,mix,226,
39,card,85,
40,gift,265,FMBuH-41041
41,card,35,
42,mix,350,
43,gift,44,
44,card,320,YwNCf-98260
45,mix,403,NNJcc-74264
46,mix,27,DtgwK-00832
47,cash,235,
48,card,413,
49,cash,466,
50,mix,149,QnJBf-34163
51,mix,458,
52,gift,99,
53,cash,286,GeITW-85253
54,cash,215,
55,gift,329,ZjQHR-01572
56,card,201,ULVAs-51182
57,gift,457,
58,card,431,
59,mix,433,
60,cash,245,
61,card,407,
62,gift,69,aHeFp-93072
63,mix,142,tjYRb-86516
64,gift,42,
65,card,7,
66,cash,236,kkpyb-07716
67,cash,311,
68,gift,246,
69,cash,73,
70,card,487,
71,cash,492,
72,card,222,
73,gift,275,cltRQ-69504
74,gift,133,GqxZf-54171
75,gift,154,
76,cash,429,
77,gift,275,
78,cash,493,
79,card,63,
80,mix,154,
81,card,189,Dxlzx-07293
82,mix,387,
83,card,235,Badjx-44259
84,mix,86,GakjR-44946
85,card,259,dkDhF-29893
86,card,285,
87,card,76,
88,mix,83,
89,cash,383,toySz-73070
90,gift,146,KhnCD-34270
91,mix,223,
92,mix,362,
93,cash,28,zEloN-69049
94,gift,201,
95,mix,438,RRejG-96009
96,gift,455,DbseL-17414
97,mix,384,
98,mix,263,
99,cash,351,GaxWU-71944
100,mix,39,
101,mix,319,
102,mix,152,ZTFLa-63345
103,gift,381,IaOZU-94991
104,gift,327,CgLqF-58895
105,mix,319,TWlfQ-66002
106,cash,218,KxJKD-49565
107,card,368,
108,cash,398,gJOdG-40407
109,gift,218,
110,card,410,
111,gift,183,
112,mix,94,shAtK-39120
113,cash,389,
114,mix,95,iIUps-63520
115,mix,241,
116,gift,44,qOxqH-98721
117,mix,385,NlQkX-06344
118,card,399,CEgBs-12637
119,mix,70,
120,gift,231,ZdUsk-25286
121,mix,134,pGboW-30858
122,mix,281,
123,card,452,fMefC-33116
124,mix,314,
125,mix,424,YlVle-74099
126,mix,256,DuCBl-89935
127,gift,346,SVAUL-91510
128,gift,485,
129,cash,493,
130,mix,99,ZwlfV-79045
131,mix,236,WQTmq-06510
132,mix,74,
133,cash,241,
134,mix,401,abFWM-52080
135,cash,415,
136,gift,75,MBGDp-71785
137,cash,83,
138,card,107,
139,mix,315,
140,mix,242,GXAsj-90117
141,cash,64,
142,cash,244,
143,gift,216,PzrYZ-30628
144,card,496,fHSaO-00324
145,card,224,
146,card,235,fBKUP-26459
147,mix,106,
148,cash,135,TiOTv-84863
149,gift,387,KrGxA-78753
150,cash,77,Ueyle-71332
151,cash,183,cyAqF-76202
152,cash,386,BqxcR-08603
153,cash,232,
