payment_id,payment_type,fare_amount,promo_code
1,gift,147,BGpUy-27040
2,mix,441,
3,card,204,
4,gift,229,lhsUh-34533
5,cash,17,
6,card,384,
7,card,328,
8,gift,281,
9,gift,299,RBNjo-48057
10,gift,42,lGlBK-02218
11,cash,435,xXmxv-80269
12,mix,395,cMuly-69539
13,mix,142,aaQDL-44739
14,card,346,
15,gift,17,
16,gift,253,
17,mix,493,AuLgK-48548
18,card,285,
19,mix,19,MVKyK-90738
20,card,113,eTgxR-62992
21,cash,281,etjwC-47127
22,cash,260,
23,cash,101,rwuHR-64790
24,card,94,
25,card,393,
26,cash,181,zZYoK-87410
27,mix,277,UwZvs-21960
28,mix,250,dyRGt-00712
29,mix,408,IATdb-87049
30,cash,232,TvhGJ-64544
31,cash,306,ULdKj-87563
32,gift,246,SGgGW-49238
33,mix,384,ZoCvS-15746
34,gift,81,
35,gift,173,MOkIc-18293
36,gift,276,
37,cash,338,pgUyA-89784
38,mix,30,
39,cash,215,
40,cash,196,vdOQR-96853
41,gift,29,Bpmvx-84396
42,gift,60,
43,card,346,mRnoz-83611
44,cash,345,
45,gift,39,VHBWZ-86484
46,cash,48,
47,card,391,QNKoB-59359
48,cash,271,rxGiA-47853
49,card,287,
50,card,165,
51,mix,472,XiMDa-30368
52,cash,184,
53,card,305,
54,cash,483,fTFin-28592
55,card,5,
56,card,280,
57,gift,450,BYsmP-62071
58,mix,17,CaOjp-47373
59,card,363,UBuek-80314
60,cash,417,QUycE-56042
61,card,250,
62,card,197,
63,cash,168,
64,cash,330,KMPJW-10677
65,mix,332,rPwDw-51568
66,mix,130,oawSt-70581
67,gift,144,
68,mix,430,cdspy-08936
69,mix,434,bVepo-84092
70,mix,27,
71,card,441,
72,mix,464,
73,cash,330,fvXIC-72861
74,gift,173,
75,cash,342,
76,cash,481,
77,mix,212,tLQCi-50508
78,card,42,
79,card,151,QQeBx-41435
80,cash,222,
81,cash,110,IWOjo-79148
82,mix,476,
83,cash,140,
84,gift,65,
85,cash,167,
86,card,388,wonZh-11149
87,card,452,
88,cash,214,
89,card,64,
90,gift,308,ihHhW-60738
91,card,439,
92,gift,259,
93,mix,64,
94,cash,468,OhDoB-74531
95,gift,342,
96,cash,7,
97,gift,368,
98,gift,77,
99,gift,369,
100,mix,133,
101,cash,184,
102,cash,47,hGJEi-74767
103,cash,458,
104,gift,156,
105,card,367,
106,card,407,ZSnal-17585
107,mix,290,JlgyV-38971
108,cash,268,
109,mix,325,
110,gift,333,SDECl-35279
111,card,245,
112,mix,400,
113,card,334,uPCAK-20591
114,gift,160,
115,card,414,
116,mix,397,lCQRz-86500
117,mix,10,oFtfu-01078
118,cash,61,
119,gift,262,
120,gift,356,xxrCj-38187
121,gift,191,bzeJn-05240
122,card,115,
123,card,343,
124,gift,101,
125,cash,386,GGMLN-05546
126,mix,28,
127,cash,453,mOfkg-40794
128,cash,193,
129,mix,226,uYVTv-61151
130,gift,150,
131,mix,50,
132,mix,320,xOcDh-54467
133,card,209,
134,mix,476,GQVHK-85940
135,card,399,gXpgy-41062
136,card,45,RrZmI-78875
137,card,254,
138,card,237,
139,card,348,
140,gift,305,
141,cash,275,kZHhT-81071
142,mix,388,YDfey-39728
143,card,332,ezbxp-85264
144,mix,83,CXBUp-73770
145,gift,459,
146,mix,141,
147,mix,132,
148,cash,481,URZHd-74674
149,gift,213,PKSvk-34883
150,gift,492,
151,mix,460,
152,cash,483,
153,gift,391,dlGMo-77594
154,card,487,
155,cash,232,
156,mix,345,cPdoN-84121
157,cash,171,SxDHm-69109
158,gift,360,oDxvQ-11351
159,mix,73,
160,card,277,
161,card,198,
162,gift,188,xnRyT-92644
163,gift,206,dPJAo-80231
164,card,319,
165,mix,117,JCJAD-57025
166,card,465,
167,cash,124,RjeeK-29009
168,card,416,
169,card,383,
170,mix,171,Sofmo-76846
171,card,81,
172,mix,87,jIkGA-70474
173,mix,420,
174,mix,427,pXDwh-09374
175,card,418,
176,cash,494,
177,cash,63,ggSqv-57361
178,card,401,
179,cash,260,ZlrvX-26159
180,gift,175,RBIrm-86661
181,card,345,
182,mix,389,MzedW-99968
183,mix,437,
184,gift,382,
185,gift,21,bpIpI-82759
186,cash,203,
187,gift,182,
188,mix,181,vrrpd-64549
189,cash,127,DhTAb-66505
190,gift,421,zJZVo-48045
191,card,355,
192,mix,101,TftDM-03052
193,cash,400,
194,mix,63,
195,gift,443,
196,card,28,zIcpa-83188
197,gift,409,SkQLS-54080
198,card,492,naWxz-49705
199,mix,159,
200,mix,186,gbIpE-33116
201,mix,367,JxqgC-22352
202,mix,381,
203,cash,454,
204,card,35,KTIvg-24856
205,cash,14,IqiGM-35030
206,gift,339,grfBa-96310
207,gift,9,UVHLs-53077
208,cash,457,
209,gift,436,ClcLk-41937
210,mix,101,nJdEs-53228
211,gift,61,
212,mix,262,WeSMJ-97790
213,card,306,
214,cash,166,
215,mix,65,pxPuo-44691
216,card,179,gSrlK-45666
217,card,190,HBNet-73291
218,mix,191,
219,gift,438,
220,cash,441,
221,cash,402,eaVYy-00747
222,card,478,knerH-59543
223,gift,46,AjEqv-48798
224,gift,66,
225,mix,216,YWVks-41476
226,gift,476,swzza-14738
227,mix,57,
228,mix,78,AoYCY-53895
229,mix,286,
230,card,140,
231,cash,23,KEtuz-54207
232,cash,157,IWXcs-57024
233,gift,141,IiZwY-28790
234,mix,59,
235,gift,83,fTqSJ-83708
236,card,100,YJZtT-17923
237,gift,454,
238,gift,206,
239,card,170,
240,cash,386,VLDEO-32993
241,cash,382,YwWbq-98228
242,mix,331,hkxrj-66268
243,cash,170,
244,mix,225,
245,gift,469,
246,cash,109,UMmud-91206
247,cash,312,
248,cash,129,haQZF-70818
249,gift,69,vNwJM-87634
250,gift,8,DysJK-60817
251,gift,19,
252,cash,102,MnCdp-98397
253,card,484,NUKIw-37029
254,cash,213,
255,card,173,YfFmK-36911
256,cash,47,
257,gift,404,pvliY-01618
258,gift,45,
259,mix,171,doSzq-39819
260,mix,346,
261,card,396,
262,mix,242,tievl-63671
263,cash,392,wQcoV-69354
264,card,213,
265,mix,10,
266,card,44,FyeDL-98855
267,gift,188,
268,card,405,
269,card,327,
270,cash,200,
271,mix,354,zsHRa-35892
272,mix,369,
273,cash,225,
274,gift,149,
275,card,173,FyeuP-82392
276,mix,179,HtqVt-91301
277,card,215,
278,gift,32,
279,mix,454,ADeuR-28995
280,gift,102,
281,gift,464,
282,card,159,
283,card,404,LbMHr-61298
284,mix,137,PaRdu-34213
285,card,290,
286,gift,22,xmCdu-64401
287,gift,262,wNcrU-26195
288,card,103,xAkma-31185
289,gift,124,mqpmN-32293
290,cash,35,Ligrg-16243
291,gift,161,
292,gift,481,
293,gift,448,Dryqb-59502
294,cash,103,
295,cash,420,MSOVV-86631
296,card,270,ABDzY-35222
297,card,449,DSafc-20928
298,mix,33,NDddC-62373
299,card,154,CMqqw-46923
300,cash,5,
301,mix,155,
302,card,217,JDIXk-63229
303,mix,498,WNEJN-72642
304,mix,408,
305,card,134,KDjOq-30364
306,gift,121,qnXEo-53877
307,gift,288,
308,card,139,
309,mix,447,QmGML-03313
310,card,47,
311,card,215,jfEdf-86187
312,mix,480,
313,mix,243,WCviQ-02657
314,card,498,abtxn-82426
315,gift,33,
316,mix,488,
317,gift,16,
318,card,233,
319,mix,409,jMIoR-16731
320,mix,51,
321,mix,137,cxmVM-20189
322,cash,328,EMIfH-86009
323,card,232,OLSXy-84098
324,gift,189,ooQmZ-50413
325,card,475,
326,cash,392,VyItr-66835
327,mix,45,xZhGw-58462
328,cash,388,WHJIp-63774
329,gift,262,jRsqF-67059
330,card,431,MBSXy-85517
331,gift,90,
332,cash,184,oVmID-96486
333,card,372,
334,mix,467,iErJW-44828
335,cash,325,ZkPiC-41472
336,mix,490,KRZCh-60316
337,mix,63,fVWxa-19048
338,card,122,
339,gift,398,
340,cash,31,
341,gift,363,
342,card,292,VEbys-64187
343,cash,466,
344,card,267,
345,mix,237,
346,card,457,ddhbc-43184
347,card,198,GXovg-16521
348,mix,137,fYpxU-34325
349,card,329,lAXSX-95756
350,cash,440,sHBHE-30826
351,card,258,cmemu-01999
352,card,163,
353,cash,43,AEDib-33557
354,cash,208,Jherj-92792
355,cash,362,
356,cash,121,
357,card,428,
358,mix,40,eixut-95547
359,cash,215,
360,gift,385,StSrD-69773
361,cash,487,
362,cash,30,uXOay-99265
363,gift,279,
364,gift,58,
365,card,61,
366,card,274,bAdde-04747
367,gift,87,
368,card,456,
369,mix,411,ebyfi-77359
370,cash,227,
371,cash,176,TpzEI-29746
372,mix,220,lmeoQ-60106
373,card,305,
374,gift,437,
375,card,148,
376,cash,108,AfHVR-37795
377,cash,84,FNvnK-07918
378,card,67,
379,mix,131,jnRfQ-19560
380,card,298,ncCmG-03552
381,card,393,IhvIJ-66856
382,cash,498,UCuWP-01523
383,gift,224,
384,mix,102,
385,cash,380,skMLF-62538
386,card,334,
387,cash,327,FzSEy-95263
388,mix,146,YcXYE-61949
389,card,271,JYBRS-71442
390,card,249,rQEmX-67192
391,cash,351,
392,mix,468,
393,mix,25,vqBrH-12802
394,cash,326,MibEH-01798
395,gift,68,
396,card,115,mhcGB-65319
397,card,297,omESm-31501
398,gift,135,GIDzn-53216
399,gift,270,
400,card,389,gSzka-62284
401,mix,335,rnbmK-97852
402,mix,57,igPxs-16025
403,card,339,mLjMN-37731
404,mix,299,
405,mix,397,
406,mix,455,VFZJZ-29500
407,card,14,ODIeg-88036
408,mix,330,
409,card,492,
410,cash,446,Kafoc-21094
411,gift,352,HixHm-91549
412,card,354,
413,mix,319,NwIbc-88403
414,cash,174,
415,cash,104,
416,card,473,sreeY-48100
417,card,98,
418,card,197,qwVxt-72878
419,gift,184,QHMay-89486
420,mix,180,
421,card,234,mxLAi-32393
422,cash,127,arGKb-54035
423,gift,371,
424,cash,410,niHjY-68583
425,card,97,hjobs-37917
426,card,450,dFXVJ-80922
427,gift,372,
428,cash,324,vAJhG-19087
429,card,414,
430,mix,54,WFfbB-96701
431,cash,444,
432,cash,422,YWyUp-36392
433,cash,125,zwPmq-83670
434,mix,158,
435,card,420,dJLxn-62108
436,cash,235,
437,gift,256,
438,cash,118,
439,mix,319,RvIWg-70730
440,gift,13,FsYZi-99970
441,cash,128,NRvmn-17618
442,gift,252,KwKRE-94623
443,cash,453,
444,gift,61,
445,card,344,EMQbv-37478
446,card,116,DUcfR-18715
447,mix,181,
448,mix,409,
449,cash,205,nuofh-33155
450,mix,259,
451,card,281,
452,card,460,HXwNq-66870
453,cash,206,XmkUJ-31787
454,card,247,kwZtt-24548
455,mix,341,
456,mix,451,
457,cash,85,cGUqN-21702
458,card,75,
459,mix,267,nwHOw-53083
460,gift,245,
461,gift,262,
462,gift,191,GssZt-37549
463,gift,462,
464,cash,217,zhMWS-37137
465,cash,24,ymdpK-27396
466,mix,462,
467,gift,184,yiNMu-05389
468,card,294,
469,gift,31,TifIE-08565
470,card,375,mqkBM-04315
471,cash,22,
472,cash,400,IcBlH-43103
473,cash,388,qhFZI-40359
474,cash,303,ykUdI-78423
475,card,5,eqYwK-92113
476,cash,216,MOayq-01230
477,cash,258,iBNTL-79773
478,cash,53,viLiR-72487
479,gift,35,kcnti-08203
480,cash,260,
481,gift,402,czmfe-74006
482,card,35,YneNX-45746
483,cash,233,
484,mix,499,VDreu-30993
485,gift,109,FhbPj-45293
486,card,116,
487,gift,372,ZudRc-95364
488,card,324,
489,cash,97,WcQdy-50424
490,mix,326,
491,cash,454,AizOo-70226
492,gift,270,
493,gift,366,
494,gift,290,
495,cash,479,
496,card,388,
497,gift,171,
498,mix,42,
499,card,301,EAeLe-58152
500,mix,40,EaiWh-16268
501,card,110,
502,cash,90,
503,gift,133,
504,cash,178,
505,cash,253,
506,mix,272,NXDJs-05504
507,gift,109,
508,card,25,
509,cash,124,bHckz-70783
510,gift,131,
511,gift,60,PjRog-25668
512,gift,314,
513,gift,312,gvThb-71763
514,card,147,uPkJt-33032
515,card,142,
516,cash,42,
517,mix,204,
518,cash,420,
519,cash,56,fXUYW-65458
520,gift,121,npiYi-80677
521,gift,195,ChVoQ-31454
522,cash,470,XWtWD-60982
523,cash,24,nVfmH-27879
524,gift,100,WbJAJ-67059
525,card,109,JreaA-54383
526,gift,332,
527,mix,462,yFcIn-32750
528,mix,253,
529,gift,22,
530,gift,45,YTqjn-32730
531,cash,372,tQteS-01195
532,mix,105,faoLI-07971
533,gift,396,
534,mix,340,
535,card,84,
536,mix,278,mlKhL-29389
537,mix,342,
538,card,349,gTdTE-53432
539,mix,430,LTSPB-81628
540,gift,319,
541,card,241,
542,gift,443,
543,gift,173,
544,gift,67,GHJTy-67160
545,card,481,AAtLy-18360
546,cash,452,
547,gift,377,mkqoj-72687
548,gift,260,OSfdn-42022
549,mix,397,
550,gift,166,
551,cash,148,nakbB-37452
552,card,268,
553,gift,499,
554,card,306,
555,gift,76,pNMwF-06707
556,card,31,
557,gift,17,
558,gift,407,XXBVc-49700
559,card,311,
560,cash,122,fcVeL-41451
561,mix,427,HDuzE-47078
562,mix,247,MitdZ-84935
563,cash,351,yLZot-22248
564,gift,419,laLaH-58387
565,card,479,
566,cash,211,
567,card,76,
568,cash,51,AQxjC-96049
569,cash,157,
570,cash,252,
571,cash,423,ncrAR-36415
572,gift,435,WMbVM-42930
573,gift,52,
574,cash,137,UmWod-35221
575,card,242,
576,gift,58,
577,gift,103,
578,gift,451,
579,cash,131,iaIAy-73329
580,mix,187,gYyTu-63721
581,mix,275,
582,cash,494,NNtVV-95409
583,cash,25,
584,card,439,qnKhg-73959
585,card,372,hNKOt-20852
586,mix,363,IFYNQ-25354
587,card,78,QiOwe-54951
588,cash,276,
589,mix,329,yTenU-82988
590,cash,388,
591,cash,413,
592,gift,317,iewmi-72864
