ride_id,driver_id
1,2827
3,9071
7,9975
9,6328
12,4695
16,9668
17,2426
20,6196
22,6907
27,6065
28,8296
33,2162
37,176
39,7164
40,446
45,3283
48,9172
61,7021
63,7981
65,1924
68,5600
70,4185
71,5705
79,9062
85,6656
87,1208
91,6264
92,2857
97,8698
99,9835
101,2080
102,8213
104,8545
105,6424
108,5867
111,1807
112,6806
115,3288
119,369
122,2630
124,3049
126,9966
127,6420
130,9462
131,8004
134,5261
135,8878
136,8588
139,9675
144,2299
147,3725
149,3237
150,3883
151,1413
154,1004
159,7443
161,7890
167,9351
175,6907
177,6819
178,5615
179,1994
181,4521
187,5012
191,2590
195,1805
196,9587
197,4796
210,6412
213,8900
214,7252
215,5018
216,7221
217,7805
220,3723
221,9749
222,1672
223,7933
225,7516
230,3257
231,6064
239,2881
240,9675
246,2425
249,9536
251,2614
254,7848
259,1620
262,8056
264,8388
270,8913
271,9637
281,9067
287,5531
290,2413
291,6121
292,4280
295,5170
298,1586
300,1031
303,7882
304,6409
305,2789
313,3962
314,955
315,6771
316,6785
317,2466
329,5514
330,6952
335,3772
343,2324
345,24
353,2241
367,6843
368,5888
369,8979
372,6203
379,7013
381,5931
383,9390
387,1033
388,4893
391,1007
394,6353
396,7580
397,5570
399,3131
404,2795
408,6022
409,6491
410,7367
412,5160
415,4493
420,260
421,698
425,5033
433,9348
436,4932
441,2244
446,8606
450,8727
451,8938
456,4025
459,9652
464,3759
465,7513
466,4294
470,7806
471,6712
475,2780
477,1162
478,1176
480,7502
481,2513
482,8761
484,3662
492,1197
493,1143
498,5078
502,5193
503,5803
504,9790
505,4181
508,404
510,3567
511,1646
513,720
517,6038
521,8711
522,4810
528,8128
533,6084
534,7040
535,7619
536,9026
537,4705
539,7603
544,7287
546,3688
548,8549
555,1092
557,146
561,7652
563,1675
565,6675
566,8045
567,4226
570,5080
574,9841
578,9284
580,3526
582,231
583,4278
584,5400
586,171
588,4728
589,1
592,8207
594,7572
602,997
603,9203
613,7614
618,1840
621,5944
625,548
626,1881
633,8328
638,1192
646,6916
653,5377
654,656
655,6170
656,1141
657,4062
660,8354
661,7956
664,5806
666,6855
671,8079
674,9243
682,6743
685,3202
689,601
692,9132
699,8010
700,9657
704,1617
705,8040
706,5839
711,1664
715,3457
716,2887
717,7850
719,7996
720,4674
722,5318
725,2498
726,5044
727,1572
735,5463
736,2848
738,4833
741,9699
744,9199
745,6984
746,9435
749,3150
758,6363
759,3834
760,9956
762,5326
764,4922
771,7572
772,4468
780,2510
787,9791
791,6056
797,951
801,3693
803,1873
804,1654
805,3213
806,1980
815,1502
821,8067
822,1323
823,2800
828,1726
832,2775
837,7138
838,5543
839,2329
842,9854
845,2400
849,509
853,1081
854,2455
861,1551
862,7373
863,6393
867,9264
868,1576
875,687
881,5222
883,9598
886,3596
887,8819
888,6472
891,3213
892,9744
894,6257
895,9397
899,4994
900,4531
901,4490
903,1287
904,948
905,9867
911,2456
914,7511
916,7216
917,7633
921,8682
928,3001
929,8259
930,7370
933,1666
935,1035
937,4570
940,6580
942,6544
943,404
946,6988
948,6198
954,6117
964,4592
966,4468
967,417
969,5705
971,2082
973,2934
974,1413
978,779
979,9841
983,1736
986,7829
991,3220
992,1755
994,4660
995,846
996,8411
998,2240
999,4635
1001,7128
1004,5274
1008,2792
1009,5356
1010,912
1014,7007
1015,2241
1018,7148
1021,6964
1028,5110
1029,4746
1032,4293
1039,9521
1042,237
1048,1450
1051,9485
1052,236
1054,6167
1057,3933
1064,7565
1065,7961
1069,262
1075,4756
1077,2514
1080,532
1083,7718
1087,8368
1090,8387
1099,438
1101,9781
1105,9013
1106,9048
1116,1461
1120,6646
1122,8170
1123,6385
1125,3828
1127,9840
1128,6095
1132,9673
1133,3109
1140,5040
1143,3047
1144,2922
1146,3966
1154,6757
1156,736
1159,1959
1161,804
1165,5663
1166,3358
1167,802
1168,2338
1169,3331
1170,1406
1171,669
1174,7408
1175,4172
