ride_id,driver_id,user_id,ride_status,request_code,pickup_location_lat,pickup_location_lon,dropoff_location_lat,dropoff_location_lon,request_date,pickup_date,dropoff_date,ride_rating,payment_id,passengers_num
1,15,56,no_show,27164,40.89911326259291,-74.19879968,40.89119552115688,-73.78466389,04/05/2023,07/07/2023 20:03,23/08/2023 07:54,4,1,2
2,28,63,no_show,21997,40.492069157196234,-74.07955208,40.49233281506135,-73.87172171,18/07/2023,27/02/2023 21:54,12/10/2023 22:20,1,2,4
3,5,49,no_show,28184,40.52877803662812,-74.06123559,40.731886405045216,-73.89189568,03/06/2023,06/06/2023 12:14,22/08/2023 10:57,4,3,4
4,15,72,cancelled,41736,40.55599410055382,-74.08679227,40.67835241237824,-73.87533988,29/07/2023,31/03/2023 11:00,16/01/2023 11:07,3,4,4
5,40,35,completed,45588,40.835789287165554,-73.94924791,40.88884994901739,-74.13764146,15/01/2023,10/09/2023 00:04,06/05/2023 02:30,5,5,4
6,60,56,cancelled,46219,40.52685108,-73.96710859,40.53468796046726,-74.14014215,06/03/2023,10/01/2023 10:51,09/11/2023 05:45,1,6,2
7,94,86,completed,99400,40.52971805246795,-73.9050597,40.89088546007429,-74.1800542,14/07/2023,03/10/2023 14:31,07/10/2023 17:43,3,7,3
8,97,48,completed,55114,40.49294561248604,-73.98774232,40.825562743910275,-74.1738902,30/07/2023,20/08/2023 20:27,23/09/2023 13:05,2,8,1
9,27,85,completed,50616,40.728965214911604,-73.71756249,40.51178046001693,-73.97087114,29/06/2023,21/07/2023 20:20,21/02/2023 01:47,1,9,4
10,50,72,cancelled,68959,40.51070358057893,-74.19306035,40.856602139425235,-74.03042328,06/09/2023,14/06/2023 03:09,05/01/2023 20:55,4,10,2
11,9,75,completed,68738,40.603221454433545,-73.79088957,40.91001514962484,-73.73052373,22/12/2022,10/05/2023 01:11,27/01/2023 13:07,2,11,3
12,41,34,cancelled,35006,40.84334331210416,-74.00974244,40.740212833258944,-74.00230922,28/04/2023,03/09/2023 17:16,13/08/2023 20:03,1,12,3
13,68,36,cancelled,43026,40.56727024666631,-74.1958213,40.65382975305584,-74.12632708,11/04/2023,19/04/2023 01:36,14/06/2023 10:38,2,13,4
14,7,23,no_show,19726,40.90622224450564,-74.06987167,40.67001915282846,-73.77659498,02/08/2023,25/08/2023 23:41,23/01/2023 23:56,2,14,4
15,97,73,no_show,67969,40.51808608426836,-73.75008433,40.783951541123415,-73.91662414,11/08/2023,27/06/2023 13:54,09/10/2023 05:04,4,15,4
16,64,40,no_show,72154,40.83380186365968,-73.96708204,40.87521569927535,-73.72572097,25/09/2023,08/07/2023 01:27,30/01/2023 05:17,3,16,1
17,9,5,no_show,84444,40.77137123243648,-73.78258685,40.69126545954683,-74.01547346,09/01/2023,14/05/2023 08:10,22/06/2023 01:27,5,17,4
18,24,94,cancelled,97160,40.52929080504884,-73.89281498,40.815873107539744,-73.73518998,18/02/2023,05/06/2023 12:33,02/04/2023 06:37,1,18,3
19,79,19,cancelled,96320,40.68571722,-74.21873527,40.62114130311938,-74.19799028,04/03/2023,07/05/2023 07:46,14/08/2023 10:08,4,19,1
20,63,89,cancelled,88747,40.659058620082845,-73.81397183,40.91561059715314,-74.048759,17/01/2023,14/06/2023 02:41,30/08/2023 21:23,1,20,1
21,48,33,cancelled,69279,40.83277991064775,-74.21711888,40.73214922277612,-74.2509989,12/11/2022,04/07/2023 23:31,07/11/2023 09:55,5,21,4
22,39,28,completed,75374,40.681156449035804,-74.10207327,40.77442667316977,-74.01683558,28/10/2023,13/06/2023 06:15,11/05/2023 16:21,2,22,1
23,25,19,cancelled,83345,40.613474721524405,-73.82521742,40.82658688816316,-74.02110768,12/11/2022,08/06/2023 17:05,22/08/2023 10:00,4,23,4
24,48,77,cancelled,92497,40.55984439970284,-73.91993627,40.56339831064116,-74.002113,05/09/2023,18/04/2023 00:05,08/07/2023 03:37,4,24,4
25,7,16,completed,86387,40.57651837412228,-73.75818809,40.74713138,-73.81588859,06/02/2023,20/05/2023 19:59,14/07/2023 05:57,2,25,1
26,79,96,completed,64639,40.80517092229384,-73.98286718,40.485999361336276,-74.13295084,12/06/2023,16/04/2023 21:16,02/07/2023 17:17,4,26,2
27,41,6,no_show,23175,40.720703375966394,-73.90707624,40.58392768921576,-74.0493801,16/07/2023,22/03/2023 02:20,04/09/2023 02:17,5,27,3
28,4,40,completed,76585,40.62644901,-73.70550147,40.69845525448076,-73.75084837,10/06/2023,06/07/2023 11:48,16/08/2023 15:50,4,28,2
29,21,42,cancelled,18533,40.5953656,-73.83349711,40.83937800814988,-73.89079416,19/07/2023,13/06/2023 17:22,19/01/2023 22:56,2,29,4
30,75,29,completed,68275,40.48837697442289,-74.09236418,40.610320975484925,-74.18552792,29/09/2023,07/01/2023 02:12,16/04/2023 21:37,5,30,2
31,58,22,completed,99184,40.76460222006815,-73.73046555,40.913613917452544,-73.94176201,14/10/2023,09/04/2023 01:09,23/04/2023 01:26,1,31,4
32,39,62,no_show,61655,40.67225905226197,-74.03214062,40.54298290003053,-74.22551608,22/11/2022,21/10/2023 01:15,01/05/2023 12:58,4,32,3
33,20,42,cancelled,86612,40.64107859585296,-74.11352134,40.66734940809426,-74.23116583,16/01/2023,03/11/2023 08:53,02/04/2023 08:24,1,33,4
34,67,10,cancelled,38054,40.73509407861019,-74.21560606,40.56155728116065,-73.94556839,22/07/2023,17/01/2023 13:20,27/01/2023 08:31,4,34,2
35,53,24,no_show,40425,40.846291759311406,-74.15411227,40.51051167778191,-74.09061771,27/08/2023,08/08/2023 21:45,27/04/2023 13:20,2,35,2
36,31,92,completed,86470,40.572995625483145,-73.99043792,40.72081582398612,-73.7718958,27/07/2023,08/05/2023 02:27,26/05/2023 00:07,4,36,3
37,95,26,completed,73341,40.91513068205741,-73.82565173,40.705170499602495,-73.97987157,10/05/2023,01/09/2023 20:23,16/06/2023 05:49,1,37,3
38,35,62,cancelled,75554,40.88716005934021,-73.82987547,40.90881266256784,-73.85301157,20/12/2022,04/09/2023 05:53,18/05/2023 14:15,2,38,2
39,98,99,cancelled,96070,40.787570647510215,-73.79460527,40.824181554340875,-73.90680723,27/02/2023,23/08/2023 16:53,05/08/2023 16:56,2,39,2
