vehicle_id,licence_plate_num,manufacturer,model,manifacture_year,car_policy_num,car_type,fuel,seats_num,kids_seats_num,wheelchair_seat
1,3XJ 847,Bennett Inc,option,2006,WAJX68671436266194,high,diesel,3,0,False
2,378-UNS,Brown-Lewis,talk,2020,EOAA94973651208159,high,diesel,3,0,True
3,077-PFH,Frost Inc,science,2012,QIJU74614396861504,high,electric,6,2,True
4,932-ASH,Jackson-Vance,test,2009,IMGI74212137609698,high,hybrid,6,0,False
5,55JO5,Hamilton-Lang,item,2003,VAPA46161344814713,high,diesel,3,0,True
6,7XV8866,Wallace-Ortiz,writer,2003,BHJU75919642455058,high,hybrid,6,0,False
7,W22-KAN,Wilson and Sons,direction,2013,WSJU69986336337699,high,electric,7,2,True
8,LMC 029,Erickson PLC,gas,2004,WJMH68227131388678,high,electric,7,1,True
9,259 KIY,"Jones, Murray and Hunter",Democrat,1997,WZJG18100116543344,high,electric,6,0,True
10,71V V10,"Floyd, Rich and Moreno",should,2008,WVYM19192631363055,high,electric,5,2,True
11,7-5279W,"Murphy, Brown and Allen",top,2012,JSJN69370411673613,normal,hybrid,7,1,False
12,897-OCR,Martin-Harrison,section,2007,SXAV19403105272086,high,diesel,8,1,False
13,FV5 I9X,"Clark, Bautista and Castro",wife,2003,WCTY67701117106749,normal,hybrid,5,0,False
14,982 LGI,"Bishop, Thomas and Davis",now,1994,IDYZ18105795586287,high,electric,3,2,True
15,ZGC-6119,Lopez-Peterson,program,1991,ENJH69622340720644,high,hybrid,7,1,True
16,980 LJU,"Reynolds, Clark and Walls",stand,2006,MNFO68153333345335,normal,electric,5,0,False
17,111 LFZ,"Alvarez, Perez and Nichols",really,2003,OMNA11320178200836,high,electric,2,0,False
18,674D7,Yang-Knight,cost,1994,IEXT46640203849589,normal,hybrid,4,1,False
19,VGC-596,"Summers, Sawyer and Rivas",research,2021,HXML80215643141488,normal,hybrid,3,2,True
20,762 0AB,"Kelly, Patton and Pierce",always,2016,CIYV16110186788543,high,diesel,3,2,True
21,E49-UOQ,"Melendez, Wu and Scott",rate,2000,EYVF96748662214386,high,electric,7,1,False
22,I 753109,Smith Inc,simple,2014,VSEY25950471818859,normal,hybrid,2,1,True
23,071 4520,"Stone, Ryan and Lynn",add,2000,QCCO50529390569337,normal,electric,8,2,False
24,423FVI,Stone-Flores,black,2014,RHBK28422006051853,high,electric,7,1,True
25,1D A9029,Bartlett-Anderson,month,2022,ZKAG76803085771206,high,diesel,3,0,False
26,283-SUO,"Brown, Ramirez and Garcia",good,2018,XKVW73466783029020,high,diesel,2,0,False
27,MVP 462,Fox PLC,plant,2016,BLDR69151206738365,high,hybrid,3,1,False
28,18-18064,Smith Group,leave,2015,TXBX20470845409574,normal,electric,6,2,False
29,215 XMX,Reid PLC,discuss,1991,WJJC18261393077391,normal,diesel,8,2,False
30,DD5 0317,"Washington, Mejia and Davis",word,2011,ITWI52368425704997,normal,hybrid,3,0,False
31,97H 9599,Terrell Group,sit,2009,BNDA61075163642651,high,hybrid,5,2,False
32,00-0365D,Morris Ltd,happy,2012,OSYF25978108254062,high,hybrid,4,1,True
33,706 DLU,"Jones, Henderson and Adams",drive,2021,DFUE25487102016062,normal,hybrid,5,1,False
34,L86-45I,Carrillo-Fry,fill,1996,LSTX42366008622479,normal,hybrid,7,2,True
35,RWZ 455,"Mccarthy, Brewer and Stewart",program,2013,OJXN02752166903139,high,diesel,8,2,False
36,6-43117,"Evans, Reed and Olson",training,2008,BLEX49321390960423,high,diesel,7,1,False
37,25Z A28,Hicks-Jones,easy,2006,MYXY68564599926743,high,electric,2,0,False
38,3779,Tyler LLC,successful,1998,CRWJ34003357761791,normal,hybrid,2,2,True
39,BLX 603,Mendez-Parker,stop,2018,VUAA33249093190479,normal,hybrid,2,1,False
40,N07 3TS,"Cantrell, Short and Diaz",move,2013,ZSXH28898878701029,high,diesel,4,2,False
41,BKX 417,Williams PLC,step,2007,TFUD54534825408944,normal,electric,7,1,True
42,HP3 R4U,Eaton-Beck,current,2016,WEWH89779073977145,normal,electric,5,2,True
43,59S 7563,Oneal PLC,anything,2002,RMHK98662018738878,high,electric,2,1,False
44,1T WQ316,Schwartz-Weeks,four,1991,XNSH17633750427580,high,diesel,6,0,False
45,0T 2777Z,Nguyen PLC,prove,2001,LIEG14735032603149,normal,hybrid,4,0,True
46,QEP 367,"White, Black and Patterson",near,1999,IVEV90107045012236,high,diesel,3,0,True
47,BKK 631,Lawson Ltd,hotel,2014,XIYF73079070393386,normal,electric,6,1,False
48,196-NCP,"Garza, Massey and Moore",election,2007,CTHX96262434508378,normal,electric,7,0,False
49,KZN Y60,Whitney LLC,key,2014,ZZKG92628886766509,high,electric,6,0,True
50,371-RQC,"Cochran, Sawyer and Tran",become,1994,FBEI36513992408828,normal,diesel,2,0,False
51,87V 653,Simpson PLC,edge,2017,YZDK56435866921690,normal,diesel,7,0,True
52,228 IOC,Jenkins PLC,prevent,2006,YFQL15489813861321,high,diesel,6,1,False
53,CFO 2454,"Chang, Baxter and Miller",act,1993,PAXS71684858738024,high,diesel,7,1,True
54,387 7806,Hall-Mahoney,front,2009,SUVH49388258651261,normal,electric,6,2,False
55,6P JM975,Thomas-Hughes,week,2006,SXOS05414567555349,normal,electric,2,0,False
56,F61-EIE,Coleman LLC,up,2006,SKYM43094191832670,normal,hybrid,8,1,True
57,4UC 065,Bishop-Daniel,science,2020,YOBS78713991683385,normal,electric,4,2,True
58,FN-0040,Campbell PLC,yard,2012,SNVV33814608489086,normal,hybrid,5,0,False
59,204-KBF,"Roberson, Thomas and Bell",family,2001,BBQX51165534477239,high,electric,5,1,False
60,164 GQU,Johnson LLC,plant,1991,PCDX69977493762588,normal,electric,3,1,True
61,5024,"Long, Wright and Gonzalez",bank,1997,EQXG59021869660005,high,hybrid,8,2,True
62,837 8QA,Jones-Martinez,others,2019,AACC37356441692551,high,electric,5,0,True
63,DW-5441,"Patterson, Chandler and Scott",method,1997,OQTS27862460692815,high,diesel,2,1,True
64,1-43415,"Thomas, Campbell and Combs",dark,2020,OGPH63963240439903,high,electric,7,0,True
65,RI4 P3N,Frazier-Graham,allow,2014,DTCY49407442843371,normal,electric,6,0,False
66,326UND,"Hicks, Foster and Brown",sometimes,1999,LPWS90126528152555,normal,electric,8,1,True
67,39L S39,Garcia Ltd,have,2015,RFHI65874689835787,high,hybrid,5,2,False
68,7-37298,Morrison-Strickland,bit,2016,AWOH21706227044389,high,hybrid,2,2,False
69,401 2UF,Parker LLC,stay,2013,CNTJ70624263535032,normal,hybrid,5,1,True
70,4-F2382,Flores-Watkins,rock,2019,FFHP30230268835455,high,hybrid,3,2,True
71,424936,"Wilson, Grimes and Harris",manager,2008,KJQV91482461639895,normal,hybrid,7,2,True
72,TIJ-4210,Warren-Hawkins,color,1995,CZGC27051976193038,normal,diesel,4,0,True
73,832 HVF,Hopkins Group,bed,2009,XNLW04713206184545,normal,electric,7,1,True
74,HKR 187,Parker-Short,others,2000,PJVP04019083332546,normal,hybrid,3,0,True
75,2-S4259,Davidson Ltd,we,1999,QHTY30882542244741,normal,hybrid,5,0,False
76,M58 8FJ,Martin PLC,anyone,2014,AHHV70642334077399,high,diesel,2,1,False
77,997-OGG,"Young, Curry and Ellis",table,2011,XDBD38927427673903,normal,diesel,3,0,True
78,630P4,Armstrong LLC,toward,1994,FPWZ84172455277361,high,hybrid,6,2,True
79,656 BDN,"Olson, Fuentes and Campbell",everybody,1995,KRHQ48768904736961,high,diesel,2,2,True
80,LII 649,Decker-Newman,history,2009,QWFH96911581708272,high,diesel,4,2,True
81,RGJ A10,Wiley-Anderson,mother,2019,TDZZ99465246739591,normal,hybrid,4,0,False
82,08N VP7,Nelson Ltd,kind,1998,DOSE84117608596881,high,diesel,7,0,True
83,2-B9987,Powell-Fields,choice,2016,FTSA84587159206963,high,hybrid,5,2,True
84,AYA-079,"Jones, Wagner and Alexander",military,2009,AJNH17520118389834,normal,diesel,8,1,True
85,IKB-5879,Brown-Jones,everything,2002,FOIW49626211044645,normal,hybrid,6,0,False
86,OGK-5129,Hernandez LLC,pressure,1992,TNRC85363881092214,high,diesel,7,0,True
87,61M W07,Foster LLC,tonight,2002,HQFQ69596780954114,high,diesel,3,1,False
88,235 OAE,"Evans, Smith and Johnson",within,2006,KSQE79770684804521,high,electric,7,2,True
89,FQB4029,Cherry and Sons,reveal,1997,NTLO60079276229418,high,hybrid,5,2,False
90,411-UFY,"Cook, Frost and Washington",happen,2015,ZBQU89822553554159,high,diesel,2,1,True
91,464 GO5,Guerra PLC,stop,2011,ZZVT28084927182386,high,diesel,3,2,True
92,00Z FF6,"Ramirez, Reyes and Cooper",good,2015,IGBU98230925364004,normal,electric,2,2,True
93,46-E251,Kirby-Webster,listen,1994,HFUS77805891443807,high,electric,4,1,False
94,1CZI243,Moore-Thomas,sit,2021,XEZX66450400767030,normal,hybrid,6,1,False
95,701 VOT,Taylor Inc,send,1995,EWWO51670860613652,high,electric,2,2,True
96,8-2514S,Montes-Brooks,or,1999,FGOG53343849939546,normal,diesel,5,2,False
97,JO 88782,Austin Ltd,example,2009,YDZU53594629013439,normal,electric,3,1,False
98,197ZUZ,Richardson Ltd,itself,1994,BDLF85799396271658,normal,electric,7,0,True
99,HCK 922,"Norton, Hamilton and Scott",build,2020,SGUK52711170254958,normal,diesel,5,1,True
100,8PW Q66,Hall-Burns,despite,2013,ILYG78097723761512,normal,electric,3,2,False
101,52I E41,Mills and Sons,court,2012,BAMO33046998448252,normal,diesel,3,2,True
102,793-EPD,"Wilson, Jones and Guerrero",center,2004,QARS39086282732521,high,hybrid,2,0,True
103,009 WVB,"Griffin, Walters and Bailey",leave,2014,AZXH81873485189622,normal,electric,6,1,False
104,UAS-027,"Blackburn, Stephens and Cortez",reveal,2010,FXYZ35682432754270,normal,hybrid,2,2,False
105,735ROK,Martin-Munoz,even,2001,VKCD28023168520952,high,hybrid,5,0,False
106,LIO 753,Obrien LLC,society,2013,JSUV00642268842147,normal,electric,2,2,True
107,LHE 331,Berry-Fuller,community,2019,IKQE23924596940887,high,diesel,8,0,True
108,070 AKK,Bridges-Davenport,movie,2021,VBDB87611866855335,high,hybrid,7,2,False
109,411-MIT,Smith Group,machine,2009,ENVG22062901681688,high,diesel,2,1,False
110,VTC7559,"Salazar, Roberts and Singleton",none,2017,IYSZ81309058923949,high,diesel,5,0,True
111,308LH,Campbell-Smith,knowledge,2012,TKLT75272412513025,high,hybrid,8,0,False
112,2CX Z58,Gomez-Pace,spring,2015,ITOT02904606844236,normal,electric,6,2,True
113,7OM96,Harmon Ltd,soon,2001,CHQX92776965102850,high,diesel,8,1,True
114,ZX-1477,Deleon Inc,these,2018,EJDM31752836125761,normal,diesel,3,0,False
115,LBT 9765,Fields-Parker,let,2005,ZVUK48091160696643,normal,diesel,7,0,False
116,IYQ 838,Hull and Sons,pattern,1991,XZET68175266608967,high,diesel,5,0,True
117,LWM 893,Mathis PLC,week,2005,LLNP60177952245314,normal,electric,3,2,True
118,9AG 819,Herrera-Howard,determine,1991,XRNQ67013670016233,high,diesel,5,1,True
119,7J VN167,Bailey LLC,vote,2019,TFWU58323146832220,normal,hybrid,3,2,True
